,NUTS_ID_x,YYYY,KEY,HIT,SPE12_12,SPI12_12
121,AT3,2004,AT32004,0.0,-0.939991533756256,-1.0360065698623655
122,AT3,2005,AT32005,0.0,-0.9550187587738036,-0.9061105847358704
123,AT3,2006,AT32006,0.0,-0.9370521903038024,-0.8784373998641968
124,AT3,2007,AT32007,0.0,-0.5445468425750732,-0.3875751495361328
125,AT3,2008,AT32008,0.0,-1.335747480392456,-1.4733346700668335
126,AT3,2009,AT32009,0.0,-1.3145077228546145,-1.1608679294586182
127,AT3,2010,AT32010,0.0,-0.9011828899383544,-1.175085425376892
128,AT3,2011,AT32011,0.0,-1.9351643323898315,-1.4391247034072876
129,AT3,2012,AT32012,0.0,-0.9333410263061525,-0.5656353235244751
130,BE,1970,BE1970,0.0,-0.7393195033073425,-0.7380571961402893
131,BE,1971,BE1971,0.0,-1.7822251319885254,-2.0115275382995605
132,BE,1972,BE1972,0.0,-1.330604910850525,-1.639464259147644
133,BE,1973,BE1973,0.0,-1.974879622459412,-2.229218006134033
134,BE,1974,BE1974,0.0,0.10559918731451036,0.2964312434196472
135,BE,1975,BE1975,0.0,-1.7507085800170898,-2.1796615123748784
136,BE,1976,BE1976,1.0,-2.67809796333313,-3.4076738357543945
137,BE,1977,BE1977,0.0,-0.4056583642959595,-0.3910841643810272
138,BE,1978,BE1978,0.0,-1.2656265497207642,-1.4269022941589355
139,BE,1979,BE1979,0.0,-0.3940103650093079,-0.23688440024852755
140,BE,1980,BE1980,0.0,-0.3633837997913361,-0.3799430429935455
141,BE,1981,BE1981,0.0,0.6843690276145935,0.5610923171043396
142,BE,1982,BE1982,0.0,-0.9022033214569092,-1.0092126131057741
143,BE,1983,BE1983,0.0,-1.1370168924331665,-1.0769208669662476
144,BE,1984,BE1984,0.0,0.09235771000385284,0.19295772910118106
145,BE,1985,BE1985,0.0,-1.155626654624939,-1.424460530281067
146,BE,1986,BE1986,0.0,-0.4039182662963867,-0.4159005284309387
147,BE,1987,BE1987,0.0,0.22950631380081174,-0.04994005709886551
148,BE,1988,BE1988,0.0,0.5688005089759827,0.4086646437644959
149,BE,1989,BE1989,0.0,-1.625089168548584,-1.6241596937179563
150,BE,1990,BE1990,0.0,-1.1923096179962158,-1.0384608507156372
151,BE,1991,BE1991,0.0,-1.3557043075561523,-1.5322703123092651
152,BE,1992,BE1992,0.0,-0.511630117893219,-0.4928496181964874
153,BE,1993,BE1993,0.0,-0.41598165035247797,-0.2647857666015625
154,BE,1994,BE1994,0.0,-0.9202929735183716,-0.7003834843635559
155,BE,1995,BE1995,0.0,-0.8415352106094359,-0.756521999835968
156,BE,1996,BE1996,0.0,-1.52906334400177,-1.877998232841492
157,BE,1997,BE1997,0.0,-1.1318044662475586,-1.0904638767242432
158,BE,1998,BE1998,0.0,0.5505193471908569,0.4987564980983734
159,BE,1999,BE1999,0.0,0.1937340795993805,0.3777841329574585
160,BE,2000,BE2000,0.0,0.5161657333374023,0.2750521600246429
161,BE,2001,BE2001,0.0,0.40167880058288574,0.3377475440502167
162,BE,2002,BE2002,0.0,0.5579957962036133,0.4708264172077179
163,BE,2003,BE2003,1.0,-1.8733104467391968,-1.6856645345687866
164,BE,2004,BE2004,0.0,-0.8233150839805603,-0.969919979572296
165,BE,2005,BE2005,0.0,-1.3737494945526123,-1.8295974731445312
166,BE,2006,BE2006,1.0,-0.8705993294715881,-0.5830233097076416
167,BE,2007,BE2007,1.0,-0.0015584673965349793,-0.06220433861017227
168,BE,2008,BE2008,0.0,-0.4796375930309296,-0.5432863235473633
169,BE,2009,BE2009,0.0,-1.1744858026504517,-1.2642364501953125
170,BE,2010,BE2010,0.0,-1.33705472946167,-1.2419931888580322
171,BE,2011,BE2011,0.0,-2.070380687713623,-2.189923048019409
172,BE,2012,BE2012,0.0,-0.7338513731956482,-0.8124165534973145
173,CH,1970,CH1970,0.0,-0.4241341054439545,-0.4259331822395325
174,CH,1971,CH1971,0.0,-2.4548676013946533,-2.112782716751098
175,CH,1972,CH1972,0.0,-1.7995767593383791,-1.9946850538253784
176,CH,1973,CH1973,0.0,-0.9385245442390442,-1.05215322971344
177,CH,1974,CH1974,0.0,-0.696844220161438,-0.730094313621521
178,CH,1975,CH1975,0.0,-1.691036820411682,-1.7778550386428833
179,CH,1976,CH1976,1.0,-1.8879401683807373,-2.202736616134644
180,CH,1977,CH1977,0.0,-0.7194218635559082,-0.8939617276191711
181,CH,1978,CH1978,0.0,-1.473920226097107,-1.520854949951172
182,CH,1979,CH1979,0.0,-0.8322339057922363,-0.8726600408554077
183,CH,1980,CH1980,0.0,-1.880683660507202,-2.0009889602661133
184,CH,1981,CH1981,0.0,-0.4832718074321747,-0.4176239967346192
185,CH,1982,CH1982,0.0,-0.900985062122345,-1.0071735382080078
186,CH,1983,CH1983,0.0,-2.766228199005127,-3.0574121475219727
187,CH,1984,CH1984,0.0,-0.9857378005981444,-1.1072561740875244
188,CH,1985,CH1985,0.0,-2.312990665435791,-1.9915714263916016
189,CH,1986,CH1986,0.0,-0.4686313569545746,-0.4862191677093506
190,CH,1987,CH1987,0.0,0.03359559178352356,-0.09051503986120224
191,CH,1988,CH1988,0.0,0.1867283582687378,0.16251309216022491
192,CH,1989,CH1989,0.0,-2.157312154769897,-2.3373470306396484
193,CH,1990,CH1990,0.0,-1.3792682886123655,-1.309462308883667
194,CH,1991,CH1991,0.0,-2.3256206512451167,-2.1494388580322266
195,CH,1992,CH1992,0.0,-0.5567353367805481,-0.6399494409561157
196,CH,1993,CH1993,0.0,-0.7316774725914001,-0.815288245677948
197,CH,1994,CH1994,0.0,-0.8923870921134949,-0.9617249965667723
198,CH,1995,CH1995,0.0,-1.1213655471801758,-1.316757321357727
199,CH,1996,CH1996,0.0,-0.9860811233520508,-1.0940614938735962
200,CH,1997,CH1997,0.0,-1.3628150224685671,-1.323478937149048
201,CH,1998,CH1998,0.0,-1.224224090576172,-1.154891848564148
202,CH,1999,CH1999,0.0,0.4411925375461577,0.4979931712150574
203,CH,2000,CH2000,0.0,-0.9763170480728148,-1.0066778659820557
204,CH,2001,CH2001,0.0,-0.4256232082843781,-0.393767923116684
205,CH,2002,CH2002,0.0,-0.11339046061038972,0.10383186489343643
206,CH,2003,CH2003,1.0,-2.81475830078125,-2.4328505992889404
207,CH,2004,CH2004,0.0,-1.157710075378418,-1.0971592664718628
208,CH,2005,CH2005,0.0,-2.3213398456573486,-2.437476396560669
209,CH,2006,CH2006,0.0,-1.8177464008331297,-1.752356767654419
210,CH,2007,CH2007,0.0,-1.3313490152359009,-1.2619246244430542
211,CH,2008,CH2008,0.0,-0.9347251653671264,-1.0150635242462158
212,CH,2009,CH2009,0.0,-1.6184018850326538,-1.8301551342010496
213,CH,2010,CH2010,0.0,-1.8690160512924197,-2.4771173000335693
214,CH,2011,CH2011,0.0,-2.373469352722168,-2.903060913085937
215,CH,2012,CH2012,0.0,-0.3485737442970276,-0.1586577296257019
216,CZ02,1970,CZ021970,0.0,0.22591763734817505,0.20276160538196564
217,CZ02,1971,CZ021971,0.0,-1.228176474571228,-1.1487683057785034
218,CZ02,1972,CZ021972,0.0,-1.0857549905776978,-1.6799033880233765
219,CZ02,1973,CZ021973,0.0,-1.756868839263916,-1.8676857948303225
220,CZ02,1974,CZ021974,0.0,0.6230489015579224,0.5449777841567993
221,CZ02,1975,CZ021975,0.0,-1.2790491580963137,-1.442223310470581
222,CZ02,1976,CZ021976,0.0,-1.7341723442077637,-1.6861138343811035
223,CZ02,1977,CZ021977,0.0,0.8399985432624817,0.6921242475509644
224,CZ02,1978,CZ021978,0.0,-0.7398974895477295,-1.528328776359558
225,CZ02,1979,CZ021979,0.0,0.6296958923339844,0.527818500995636
226,CZ02,1980,CZ021980,0.0,0.5319657921791077,0.10674823075532912
227,CZ02,1981,CZ021981,0.0,0.8744859099388123,0.9704086780548096
228,CZ02,1982,CZ021982,0.0,-1.7325624227523804,-2.1286721229553223
229,CZ02,1983,CZ021983,0.0,-1.4580787420272827,-1.0347175598144531
230,CZ02,1984,CZ021984,0.0,-0.15735436975955966,-0.5407084822654724
231,CZ02,1985,CZ021985,0.0,-0.17448338866233826,-0.5289586782455444
232,CZ02,1986,CZ021986,0.0,-0.3456595540046692,-0.12278635054826735
233,CZ02,1987,CZ021987,0.0,0.26320284605026245,0.16269350051879886
234,CZ02,1988,CZ021988,0.0,0.07881297916173935,0.06459205597639084
235,CZ02,1989,CZ021989,0.0,-1.14146625995636,-1.353814721107483
236,CZ02,1990,CZ021990,0.0,-1.5617409944534302,-1.5716546773910522
237,CZ02,1991,CZ021991,0.0,-1.0660265684127808,-1.4194045066833496
238,CZ02,1992,CZ021992,0.0,-1.5198862552642822,-1.3004617691040041
239,CZ02,1993,CZ021993,0.0,-0.28171366453170776,-0.11650210618972777
240,CZ02,1994,CZ021994,0.0,-1.2533502578735352,-0.8877525925636292
241,CZ02,1995,CZ021995,0.0,0.2696349918842316,0.3521890044212341
242,CZ02,1996,CZ021996,0.0,0.0841730535030365,-0.10542132705450058
243,CZ02,1997,CZ021997,0.0,-0.9229649901390076,-0.81876540184021
244,CZ02,1998,CZ021998,0.0,-0.31340500712394714,-0.4979068338871002
245,CZ02,1999,CZ021999,0.0,-1.2830878496170044,-1.538262128829956
246,CZ02,2000,CZ022000,0.0,-0.6215897798538208,-0.6603633761405945
247,CZ02,2001,CZ022001,0.0,0.6054530143737793,0.4814451634883881
248,CZ02,2002,CZ022002,0.0,0.7478035092353821,0.7936354279518127
249,CZ02,2003,CZ022003,0.0,-2.882908821105957,-2.7935171127319336
250,CZ02,2004,CZ022004,0.0,-1.0633797645568848,-0.974603235721588
251,CZ02,2005,CZ022005,0.0,-0.7267739176750183,-0.4868624210357666
252,CZ02,2006,CZ022006,0.0,-1.246223211288452,-0.7599071860313416
253,CZ02,2007,CZ022007,0.0,-0.735737144947052,-0.06797374784946443
254,CZ02,2008,CZ022008,0.0,-0.9879232048988342,-1.3500250577926636
255,CZ02,2009,CZ022009,0.0,-0.549899697303772,-0.3092476427555084
256,CZ02,2010,CZ022010,0.0,1.0194426774978638,0.871618926525116
257,CZ02,2011,CZ022011,0.0,-0.637728214263916,-0.6967571973800659
258,CZ02,2012,CZ022012,0.0,-0.3829764127731323,-0.12638811767101288
259,CZ03,1970,CZ031970,0.0,-0.5184755325317383,-0.8075631260871887
260,CZ03,1971,CZ031971,0.0,-2.4290339946746826,-2.0739808082580566
261,CZ03,1972,CZ031972,0.0,-2.1885645389556885,-2.327626466751098
262,CZ03,1973,CZ031973,0.0,-1.8490563631057741,-1.9592516422271729
263,CZ03,1974,CZ031974,0.0,0.4258209466934204,0.3823206722736359
264,CZ03,1975,CZ031975,0.0,-0.9804487228393556,-1.2024787664413452
265,CZ03,1976,CZ031976,0.0,-1.8116730451583865,-1.6420906782150269
266,CZ03,1977,CZ031977,0.0,0.08433709293603897,-0.03892653435468674
267,CZ03,1978,CZ031978,0.0,-1.7335842847824097,-2.1667249202728267
268,CZ03,1979,CZ031979,0.0,0.0604330524802208,0.03665988519787789
269,CZ03,1980,CZ031980,0.0,-0.14912085235118866,-0.6399189233779907
270,CZ03,1981,CZ031981,0.0,-0.33647534251213074,-0.4446547627449036
271,CZ03,1982,CZ031982,0.0,-1.8033324480056765,-2.215551853179932
272,CZ03,1983,CZ031983,0.0,-2.254596948623657,-1.7244776487350464
273,CZ03,1984,CZ031984,0.0,-0.31923753023147583,-0.7085185050964355
274,CZ03,1985,CZ031985,0.0,-0.7097346186637878,-0.8503968119621277
275,CZ03,1986,CZ031986,0.0,-0.15397155284881592,-0.049520928412675864
276,CZ03,1987,CZ031987,0.0,0.1311044991016388,-0.10868478566408156
277,CZ03,1988,CZ031988,0.0,0.2168124467134476,0.151742622256279
278,CZ03,1989,CZ031989,0.0,-1.3279197216033936,-1.5132062435150146
279,CZ03,1990,CZ031990,0.0,-1.531633734703064,-1.236480951309204
280,CZ03,1991,CZ031991,0.0,-1.3164361715316772,-1.5699979066848757
281,CZ03,1992,CZ031992,0.0,-1.4645410776138306,-1.2901523113250732
282,CZ03,1993,CZ031993,0.0,-0.4533471465110779,-0.2962662577629089
283,CZ03,1994,CZ031994,0.0,-1.7562322616577148,-1.4173542261123655
284,CZ03,1995,CZ031995,0.0,0.2018982023000717,0.26646044850349426
285,CZ03,1996,CZ031996,0.0,-0.7227367758750916,-0.8979546427726746
286,CZ03,1997,CZ031997,0.0,-0.9652729630470276,-0.9750834107398988
287,CZ03,1998,CZ031998,0.0,-0.3130468726158142,-0.4390698373317719
288,CZ03,1999,CZ031999,0.0,-1.3787741661071775,-1.534708857536316
289,CZ03,2000,CZ032000,0.0,-0.5905804038047789,-0.5079544186592102
290,CZ03,2001,CZ032001,0.0,0.05612308531999588,-0.1918064206838608
291,CZ03,2002,CZ032002,0.0,2.3454575538635254,2.113677263259888
292,CZ03,2003,CZ032003,0.0,-3.0425014495849614,-2.7914767265319824
293,CZ03,2004,CZ032004,0.0,-0.3265620172023773,-0.25998610258102417
294,CZ03,2005,CZ032005,0.0,-0.8088457584381104,-0.7845933437347412
295,CZ03,2006,CZ032006,0.0,-0.7744303345680237,-0.4328736662864685
296,CZ03,2007,CZ032007,0.0,-0.1718313992023468,0.2107880562543869
297,CZ03,2008,CZ032008,0.0,-1.0542980432510376,-1.3565689325332642
298,CZ03,2009,CZ032009,0.0,-0.2087879776954651,-0.09058871120214462
299,CZ03,2010,CZ032010,0.0,-0.3529963493347168,-0.5903454422950745
300,CZ03,2011,CZ032011,0.0,-1.5636544227600098,-1.387761473655701
301,CZ03,2012,CZ032012,0.0,-1.0032193660736084,-0.4681170582771301
302,CZ04,1970,CZ041970,0.0,0.35279518365859985,0.33732473850250244
303,CZ04,1971,CZ041971,0.0,-1.3142720460891724,-1.2907372713088991
304,CZ04,1972,CZ041972,0.0,-1.4717445373535156,-1.887956976890564
305,CZ04,1973,CZ041973,0.0,-1.9172675609588623,-2.018542766571045
306,CZ04,1974,CZ041974,0.0,0.3978956341743469,0.2306852638721466
307,CZ04,1975,CZ041975,0.0,-1.3001476526260376,-1.5178174972534182
308,CZ04,1976,CZ041976,0.0,-1.8583073616027832,-1.6859594583511353
309,CZ04,1977,CZ041977,0.0,0.3139761984348297,0.2327975928783417
310,CZ04,1978,CZ041978,0.0,0.025659095495939255,-0.2962388098239899
311,CZ04,1979,CZ041979,0.0,-0.090951107442379,-0.19075989723205566
312,CZ04,1980,CZ041980,0.0,0.3159439265727997,-0.0024829152971506123
313,CZ04,1981,CZ041981,0.0,1.5180420875549316,1.4318370819091797
314,CZ04,1982,CZ041982,0.0,-1.987050414085388,-2.2854883670806885
315,CZ04,1983,CZ041983,0.0,-1.0563983917236328,-0.8134909868240356
316,CZ04,1984,CZ041984,0.0,-0.4094225466251373,-0.832993745803833
317,CZ04,1985,CZ041985,0.0,-1.548126220703125,-1.7012876272201538
318,CZ04,1986,CZ041986,0.0,0.17515425384044647,0.11432699859142305
319,CZ04,1987,CZ041987,0.0,0.3178292512893677,0.17175406217575073
320,CZ04,1988,CZ041988,0.0,-0.17569099366664884,-0.4556582272052765
321,CZ04,1989,CZ041989,0.0,-1.5052995681762695,-1.5095500946044922
322,CZ04,1990,CZ041990,0.0,-1.3165096044540403,-1.2190501689910889
